"","pitcher","year","inning_role","length_role","matchup_role","leverage_role"
"300",572971,2021,"start",NA,NA,NA
"301",642232,2021,"none","long","RHH","none"
"302",521230,2021,"late","short","none","high"
"303",468504,2021,"middle","short","none","high"
"304",641386,2021,"none","short","none","low"
"305",518617,2021,"none","short","none","high"
"306",656945,2021,"none","short","RHH","high"
"307",453343,2021,"late","short","none","high"
"308",475054,2021,"middle","short","RHH","high"
"309",552640,2021,"none","short","RHH","high"
"310",641871,2021,"none","short","none","none"
"311",664199,2021,"none","short","none","high"
"312",661255,2021,"none","short","none","none"
"313",593974,2021,"none","short","none","high"
"314",519151,2021,"late","short","LHH","high"
"315",554340,2021,"none","short","none","high"
"316",650895,2021,"late","short","none","high"
"317",642068,2021,"none","short","LHH","low"
"318",595411,2021,"none","short","none","low"
"319",676606,2021,"none","long","RHH","none"
"320",664126,2021,"late","short","none","high"
"321",594835,2021,"start",NA,NA,NA
"322",543037,2021,"start",NA,NA,NA
"323",669456,2021,"start",NA,NA,NA
"324",608331,2021,"start",NA,NA,NA
"325",656427,2021,"start",NA,NA,NA
"326",506433,2021,"start",NA,NA,NA
"327",571510,2021,"start",NA,NA,NA
"328",547943,2021,"start",NA,NA,NA
"329",608566,2021,"start",NA,NA,NA
"330",518516,2021,"start",NA,NA,NA
"331",592332,2021,"start",NA,NA,NA
"332",628317,2021,"start",NA,NA,NA
"333",605164,2021,"start",NA,NA,NA
"334",608337,2021,"start",NA,NA,NA
"335",605400,2021,"start",NA,NA,NA
"336",645261,2021,"start",NA,NA,NA
"337",425844,2021,"start",NA,NA,NA
"338",605540,2021,"start",NA,NA,NA
"339",607192,2021,"start",NA,NA,NA
"340",477132,2021,"start",NA,NA,NA
"341",622491,2021,"start",NA,NA,NA
"342",605135,2021,"start",NA,NA,NA
"343",641771,2021,"none","long","LHH","none"
"344",543294,2021,"start",NA,NA,NA
"345",642547,2021,"start",NA,NA,NA
"346",641745,2021,"start",NA,NA,NA
"347",621368,2021,"none","none","RHH","low"
"348",672578,2021,"none","short","none","low"
"349",502043,2021,"start",NA,NA,NA
"350",518813,2021,"none","short","none","high"
"351",606424,2021,"none","short","none","high"
"352",594987,2021,"middle","short","RHH","high"
"353",663465,2021,"none","long","RHH","low"
"354",656793,2021,"none","none","none","high"
"355",542585,2021,"none","short","none","high"
"356",519293,2021,"late","short","RHH","high"
"357",593144,2021,"late","short","none","high"
"358",543766,2021,"none","short","none","high"
"359",623352,2021,"late","short","RHH","high"
"360",518858,2021,"none","short","none","high"
"361",571578,2021,"start",NA,NA,NA
"362",642545,2021,"none","none","none","low"
"363",543548,2021,"none","none","RHH","low"
"364",596027,2021,"none","short","none","low"
"365",458677,2021,"none","short","none","none"
"366",656685,2021,"none","short","none","none"
"367",621348,2021,"middle","short","none","none"
"368",593833,2021,"none","short","none","none"
"369",642701,2021,"none","short","none","none"
"370",656638,2021,"none","short","none","none"
"371",621242,2021,"late","short","none","high"
"372",453281,2021,"none","none","RHH","low"
"373",642003,2021,"late","short","RHH","low"
"374",424144,2021,"none","short","none","low"
"375",608723,2021,"none","none","none","none"
"376",640448,2021,"late","short","none","high"
"377",544727,2021,"none","short","none","high"
"378",605452,2021,"start",NA,NA,NA
"379",571735,2021,"none","none","none","low"
"380",519326,2021,"none","short","none","low"
"381",676709,2021,"middle","medium","RHH","low"
"382",501593,2021,"middle","none","RHH","low"
"383",461872,2021,"none","short","none","low"
"384",592836,2021,"start",NA,NA,NA
